Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Dendraster,No light,E:\HopkinsEmbroyologyCourse_GoodData\2018_06_11\Dendraster_starved_11Days_nofood,Dendraster2,track_mod.csv,0,0
Dendraster,No light,E:\HopkinsEmbroyologyCourse_GoodData\2018_06_11\Dendraster_starved_11Days_nofood,Dendraster3,track_mod.csv,0,0
Dendraster,No light,E:\HopkinsEmbroyologyCourse_GoodData\2018_06_11\Dendraster_well_fed_11Days_nofood,Dendraster1,track_mod.csv,0,0
Dendraster,No light,E:\HopkinsEmbroyologyCourse_GoodData\2018_06_11\Dendraster_starved_11Days_withfood,Dendraster2,track_mod.csv,0,700
