Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Stentor,No light,E:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track2,track000.csv,0,0
Stentor,No light,E:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track3,track000.csv,0,0
Stentor,No light,E:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track3,track001.csv,0,0
Stentor,No light,E:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track4,track000.csv,0,0
Stentor,No light,E:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track5,track000.csv,0,0
Stentor,No light,E:\GravitMachineTracks_Oct2019\Stentor_18_10_2019,track9,track000.csv,0,0
