,Organism,Condition,Theta mean,Theta std
0,Acantharia,Doublet,175.0403982121815,5.233453344966561
0,Acantharia,species 1,173.829499667558,7.137812228389179
0,Acantharia,species 2,174.4434460509062,6.905228601481173
0,Acantharia,species 3,174.4168083471952,6.787786987509051
