,Organism,Condition,Vx mean,Vx std,Vz mean,Vz std
0,Acorn worm,No light,0.018891570760254713,0.5280908391066921,-0.1606597903257241,1.0424026933824486
0,Akashiwo,Ambient light_Down,0.0011551523258905498,0.17547014335164426,-0.2740235575154547,0.28383733521689
0,Akashiwo,Ambient light_Up,0.0025706693724864027,0.05174037311255903,0.06801318102890451,0.046249550450262335
0,Brittlestar,No light,0.0054920741332638865,0.20540806345030613,-0.1259765401038506,0.2561774899389912
0,Ceratium_sp_noFork,Ambient light,0.011489801543225837,0.08890675436264057,-0.12747463827669817,0.17258669197291676
0,Dendraster,No light,-0.001830619777264753,0.21423337076328847,0.13073099888785925,0.5692325175606959
0,Euglena,No light,-0.000602824246622906,0.025450475983324353,-0.1184544355993621,0.033771331798488666
0,Polychaete,Day,-0.011654599322102166,0.24229049844122574,-0.8134498025784881,0.5688668656371364
0,Polychate,Night,0.02048374485239514,0.30015927850570245,0.43891607480572425,0.46291513317646643
0,Sea cucumber,No light,-0.005570283197306229,0.1303044570476142,0.057966486831006706,0.1370524324891577
0,Sea urchin,No light,0.02207775879669127,0.3196731574571116,-0.4383821330177821,0.389512143766769
0,Snail,No light,-0.003811786073182032,0.272782858563655,-0.17697125147418188,0.517724408146332
0,Starfish,No light,0.00351632728502918,0.39034935643016644,0.7242346093885836,0.760580205857267
0,Stentor,No light,0.016435000444841773,0.09590436973053339,-0.5376807038237328,0.5872759849429817
