Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Euglena,No light,E:\GravitMachineTracks_Oct2019\Euglena,track1,track000.csv,0,0
Euglena,No light,E:\GravitMachineTracks_Oct2019\Euglena,track3,track000.csv,0,0
Euglena,No light,E:\GravitMachineTracks_Oct2019\Euglena,track4,track000.csv,0,0
Euglena,No light,E:\GravitMachineTracks_Oct2019\Euglena,track5,track002.csv,0,0
Euglena,No light,E:\GravitMachineTracks_Oct2019\Euglena,track6,track000.csv,0,0
Euglena,No light,E:\GravitMachineTracks_Oct2019\Euglena,track7,track002.csv,0,0
Euglena,No light,E:\GravitMachineTracks_Oct2019\Euglena,track8,track000.csv,0,0
