Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Snail,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail1,track_mod.csv,150,575
Snail,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail2,track_mod.csv,0,0
Snail,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail4,track_mod.csv,0,0
Snail,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail6,track_mod.csv,0,0
Snail,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail8,track_mod.csv,0,0
Snail,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail10,track_mod.csv,0,0
Snail,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Snail,snail13,track_mod.csv,0,600
