Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Acorn worm,No light,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_06\AcornWorm_Experiment2_nolight,AcornWorm2,track_mod.csv,0,0
Acorn worm,No light,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_06\AcornWorm_Experiment2_nolight,AcornWorm3,track_mod.csv,0,0
Acorn worm,No light,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_06\AcornWorm_Experiment2_nolight,AcornWorm4,track_mod.csv,0,0
Acorn worm,No light,G:\HopkinsEmbroyologyCourse_GoodData\2018_06_06\AcornWorm_Experiment2_nolight,AcornWorm7,track_mod.csv,50,140
