Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Volvox,No light,G:\GravityMachine_Controls_AbioticData\Biotic_ControlExperiments\VolvoxControls_GravityMachine_2018_10_28,Volvox10_1,track.csv,0,0
Volvox,No light,G:\GravityMachine_Controls_AbioticData\Biotic_ControlExperiments\VolvoxControls_GravityMachine_2018_10_28,Volvox2,track.csv,0,130
Volvox,No light,G:\GravityMachine_Controls_AbioticData\Biotic_ControlExperiments\VolvoxControls_GravityMachine_2018_10_28,Volvox4,track.csv,100,330
Volvox,No light,G:\GravityMachine_Controls_AbioticData\Biotic_ControlExperiments\VolvoxControls_GravityMachine_2018_10_28,Volvox8,track.csv,0,65
Volvox,No light,G:\GravityMachine_Controls_AbioticData\Biotic_ControlExperiments\VolvoxControls_GravityMachine_2018_10_28,Volvox1,track.csv,0,40
Volvox,No light,G:\GravityMachine_Controls_AbioticData\Biotic_ControlExperiments\VolvoxControls_GravityMachine_2018_10_28,Volvox13,track.csv,0,0
Volvox,No light,G:\GravityMachine_Controls_AbioticData\Biotic_ControlExperiments\VolvoxControls_GravityMachine_2018_10_28,Volvox22,track.csv,0,16
Volvox,No light,G:\GravityMachine_Controls_AbioticData\Biotic_ControlExperiments\VolvoxControls_GravityMachine_2018_10_28,Volvox23,track.csv,0,64
