Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Sea urchin,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_06\SeaUrchin,SeaUrchin5,track_mod.csv,0,0
Sea urchin,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_06\SeaUrchin,SeaUrchin7,track_mod.csv,0,500
Sea urchin,No light,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_06\SeaUrchin,SeaUrchin8,track_mod.csv,0,0
