Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Polychaete,Day,/Users/deepak/Documents/GravityMachine_testData/Polychaete_4D,Polychaete1,track_mod.csv,0,112
Polychaete,Day,/Users/deepak/Documents/GravityMachine_testData/Polychaete_4D,Polychaete2,track_mod.csv,0,113
Polychaete,Day,/Users/deepak/Documents/GravityMachine_testData/Polychaete_4D,Polychaete3,track_mod.csv,0,37
Polychaete,Day,/Users/deepak/Documents/GravityMachine_testData/Polychaete_4D,Polychaete4,track_mod.csv,0,55
Polychaete,Day,/Users/deepak/Documents/GravityMachine_testData/Polychaete_4D,Polychaete6,track_mod.csv,0,113
