Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Akashiwo,Ambient light_Up,F:\Monterey_2019\2019_08_15\Akshiwo_sp,dino11,track001.csv,0,0
Akashiwo,Ambient light_Up,F:\Monterey_2019\2019_08_15\Akshiwo_sp,dino11,track002.csv,0,78
Akashiwo,Ambient light_Up,F:\Monterey_2019\2019_08_15\Akshiwo_sp,dino18,track000.csv,0,0
Akashiwo,Ambient light_Up,F:\Monterey_2019\2019_08_15\Akshiwo_sp,dino19,track000.csv,0,0
Akashiwo,Ambient light_Up,F:\Monterey_2019\2019_08_15\Akshiwo_sp,dino20,track001.csv,0,0
