Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Polychate,Night,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Polychaete,Poly1,track_mod.csv,20,80
Polychate,Night,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Polychaete,Poly2,track_mod.csv,0,116
Polychate,Night,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Polychaete,Poly3,track_mod.csv,0,0
Polychate,Night,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Polychaete,Poly4,track_mod.csv,0,93
Polychate,Night,F:\HopkinsEmbroyologyCourse_GoodData\2018_06_13\Polychaete,poly5,track_mod.csv,0,34
