Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Agar sphere,1,H:\2019 Monterey Trip\Vorticella_GM\2019_08_21_Afternoon,Trac4,track000.csv,0,500
Agar sphere,1,H:\2019 Monterey Trip\Vorticella_GM\2019_08_21_Afternoon,Track2,track000.csv,0,500
