Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax,Description
C wailesii,Control,E:\Diatom-GM-data_Summer2019\NutrientRepleteCondition\Wailesii\Wailesii_2019-5-20,Wailesii_7_EmptyFrustule,track000.csv,0,250,Empty frustule
C wailesii,Control,E:\Diatom-GM-data_Summer2019\NutrientRepleteCondition\Wailesii\Wailesii_2019_5_21,Wailesii_1_EmptyFrustule,track000.csv,0,0,Empty frustule
