Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax,Description
None,Control,E:\HOT317_GravityMachine_1\Day1,withoutBlock_655PM,track000.csv,0,0,Without Barrier
None,Control,E:\HOT317_GravityMachine_1\Day1,track_afterBarrier_4 21PM_50fps,track000.csv,0,0,With barrier
