Organism,Condition,rootFolder,trackFolder,trackFile,Tmin,Tmax
Brittletstar,No light,E:\HopkinsEmbroyologyCourse_GoodData\BrittleStar,BrittleStar9_Long_Good_Ytracking,track_mod.csv,0,0
Brittletstar,No light,E:\HopkinsEmbroyologyCourse_GoodData\BrittleStar,BrittleStar10_Ytracking_Good,track_mod.csv,0,0
Brittletstar,No light,E:\HopkinsEmbroyologyCourse_GoodData\BrittleStar,BrittleStar12_Ytracking_Good,track_mod.csv,0,0
Brittletstar,No light,E:\HopkinsEmbroyologyCourse_GoodData\BrittleStar,BrittleStar1,track_mod.csv,0,0
